Word,Level,Weight,Length,Start,End
alien,1,150.298938948,40,1910,1988
sonoran,1,68.117347975,1,2012,2012
showdown,1,68.117347975,1,2012,2012
controversi,1,68.3716806123,1,2012,2012
african,1,67.5106183261,3,1994,1998
control,1,124.2739418592,5,1982,1990
hr,1,79.5480431793,5,1982,1990
report,1,72.367953649,7,1982,1994
gender,1,72.9029419681,1,2012,2012
boehm,1,72.653517385,1,2012,2012
religion,1,70.5191977034,1,2012,2012
reform,1,128.6623287804,5,1982,1990
transnat,1,71.2792167777,1,2012,2012
act,1,131.2818088135,6,1980,1990
rose,1,67.5708109027,1,2012,2012
famili,1,92.942827465,3,2012,2016
microform,1,118.2425638586,5,1980,1988
ananda,1,68.117347975,1,2012,2012
deborah,1,72.1103281535,1,2012,2012
intim,1,72.9246675166,1,2012,2012
